APP_CODE,IP_ADDRESS,SERVICE_IP
1104,10.1.20.74,10.1.20.76
1104,10.1.20.75,10.1.20.76
1104,10.1.20.76,10.1.20.76
1104,10.1.48.140,
1104,10.1.48.151,
1104,172.21.1.213,10.1.20.76
1104,172.21.1.214,10.1.20.76
1104,172.21.1.215,10.1.20.76
AAP,10.1.41.52,10.1.41.54
AAP,10.1.41.53,10.1.41.54
AAP,10.1.41.54,10.1.41.54
AAP,10.1.48.130,
AAP,10.1.48.131,
AAP,10.1.48.76,
AAP,10.1.48.77,
AAP,172.21.0.204,10.1.41.54
AAP,172.21.0.205,10.1.41.54
AAP,172.21.1.134,10.1.41.54
AAP,172.22.1.168,
AAP,172.22.1.169,
AAP,172.22.1.170,
AAP,172.22.1.171,
ACS,10.1.49.39,
ACS,10.1.49.40,
ACS,10.1.5.57,10.1.5.57
ACS,10.1.5.58,10.1.5.57
ACS,10.1.5.59,10.1.5.57
ACS,172.21.0.142,10.1.5.57
ACS,172.21.1.114,10.1.5.57
ACS,172.21.2.1,10.1.5.57
ADP,10.1.10.110,10.1.10.112
ADP,10.1.10.111,10.1.10.112
ADP,10.1.10.112,10.1.10.112
AFCS,10.1.88.28,10.1.88.44
AFCS,10.1.88.36,10.1.88.44
AFCS,10.1.88.44,10.1.88.44
AFCS,172.22.1.1,10.1.88.44
AFCS,172.22.1.2,10.1.88.44
AFCS,172.22.1.3,10.1.88.44
ALM,10.1.89.60,10.1.89.60
ALM,10.1.89.61,10.1.89.61
ALM,10.1.89.62,10.1.89.62
ALM,10.1.89.63,10.1.89.60
ALM,10.1.89.64,10.1.89.60
ALM,10.1.89.65,10.1.89.61
ALM,10.1.89.66,10.1.89.61
ALM,10.1.89.67,10.1.89.62
ALM,10.1.89.68,10.1.89.62
ALM,10.1.89.69,
ALM,10.1.89.70,
ALM,10.1.89.71,
ALM,10.1.89.72,
ALM,10.1.89.73,
ALM,10.1.89.74,
ALM,10.1.89.75,
ALM,10.1.89.76,
ALM,10.1.89.77,
ALM,10.1.89.78,
ALM,172.22.1.62,10.1.89.60
ALM,172.22.1.63,10.1.89.60
ALM,172.22.1.64,10.1.89.60
ALM,172.22.1.65,10.1.89.61
ALM,172.22.1.66,10.1.89.61
ALM,172.22.1.67,10.1.89.62
ALM,172.22.1.68,10.1.89.62
ALM,172.22.1.69,10.1.89.62
ALM,172.22.1.70,10.1.89.61
AMCA,10.227.1.1,
AMCA,10.227.1.16,10.227.1.18
AMCA,10.227.1.17,10.227.1.18
AMCA,10.227.1.18,10.227.1.18
AMCA,10.227.1.19,10.227.1.21
AMCA,10.227.1.2,
AMCA,10.227.1.20,10.227.1.21
AMCA,10.227.1.21,10.227.1.21
AMCA,10.227.1.3,10.227.1.100
AMCA,10.227.1.4,10.227.1.100
AMCA,172.35.22.5,
AMCA,172.35.22.6,
AMCA,172.35.22.7,10.227.1.18
AMCA,172.35.22.8,10.227.1.18
AMCA,172.35.24.81,10.227.1.100
AMCA,172.35.24.82,10.227.1.100
AMCA,172.35.24.83,10.227.1.21
AMCA,172.35.24.84,10.227.1.21
AMCA,172.38.0.114,
AMCA,172.38.0.115,
AMCA,172.38.0.116,10.227.1.18
AMCA,172.38.0.117,10.227.1.18
AMCA,172.38.0.118,10.227.1.18
AMCA,172.38.0.231,10.227.1.100
AMCA,172.38.0.232,10.227.1.100
AMCA,172.38.0.233,10.227.1.21
AMCA,172.38.0.234,10.227.1.21
AMCA,172.38.0.235,10.227.1.21
AMFE,10.254.253.48,10.254.253.50
AMFE,10.254.253.49,10.254.253.50
AMFE,10.254.253.50,10.254.253.50
AMFE,172.28.0.33,10.254.253.50
AMFE,172.28.0.34,10.254.253.50
AMFE,172.28.0.35,10.254.253.50
AMFE,172.29.0.58,10.254.253.50
AMFE,172.29.0.59,10.254.253.50
AMFE,172.29.0.60,10.254.253.50
AML,10.1.42.49,10.1.42.51
AML,10.1.42.50,10.1.42.51
AML,10.1.42.51,10.1.42.51
AML,10.1.49.130,
AML,10.1.49.131,
AML,172.21.3.28,10.1.42.51
AML,172.21.3.29,10.1.42.51
AML,172.21.3.30,10.1.42.51
AMS,10.1.49.11,10.1.49.11
AMS,10.1.49.12,10.1.49.11
AMS,10.1.49.13,10.1.49.11
AMS,10.217.0.23,10.217.0.25
AMS,10.217.0.24,10.217.0.25
AMS,10.217.0.25,10.217.0.25
AMS,10.217.0.26,10.217.0.28
AMS,10.217.0.27,10.217.0.28
AMS,10.217.0.28,10.217.0.28
AMS,172.22.0.249,10.1.49.11
AMS,172.22.0.250,10.1.49.11
AMS,172.22.0.251,10.1.49.11
AMS,172.35.24.43,10.217.0.28
AMS,172.35.24.44,10.217.0.28
AMS,172.35.24.45,10.217.0.25
AMS,172.35.24.46,10.217.0.25
AMS,172.38.0.173,10.217.0.28
AMS,172.38.0.174,10.217.0.28
AMS,172.38.0.175,10.217.0.25
AMS,172.38.0.176,10.217.0.25
AMS,172.38.0.178,10.217.0.28
AMS,172.38.0.179,10.217.0.25
ANTI,10.1.10.33,10.1.10.35
ANTI,10.1.10.34,10.1.10.35
ANTI,10.1.10.35,10.1.10.35
ANTI,10.1.249.66,
ANTI,10.200.44.81,
ANTI,172.21.0.103,10.1.10.35
ANTI,172.21.0.104,10.1.10.35
ANTI,172.21.1.101,10.1.10.35
ATMP,10.1.41.170,10.1.41.182
ATMP,10.1.41.171,10.1.41.182
ATMP,10.1.41.172,10.1.41.182
ATMP,10.1.41.173,10.1.41.182
ATMP,10.1.41.174,10.1.41.182
ATMP,10.1.41.176,10.1.41.182
ATMP,10.1.41.178,10.1.41.182
ATMP,10.1.41.180,10.1.41.182
ATMP,10.1.41.181,10.1.41.182
ATMP,10.1.41.182,10.1.41.182
ATMP,10.1.45.5,
ATMP,10.1.45.6,
ATMP,10.1.45.7,
ATMP,10.1.45.8,
ATMP,10.1.49.54,10.1.49.56
ATMP,10.1.49.55,10.1.49.56
ATMP,10.1.49.56,10.1.49.56
ATMP,10.200.20.156,
ATMP,10.225.41.174,
ATMP,10.225.7.149,
ATMP,169.254.107.79,10.1.41.182
ATMP,169.254.149.67,10.1.41.182
ATMP,172.21.2.77,
ATMP,172.21.2.78,
ATMP,172.21.2.79,
ATMP,172.21.2.80,
ATMP,172.21.2.81,10.1.41.182
ATMP,172.21.2.82,10.1.41.182
ATMP,172.21.2.83,10.1.41.182
ATMP,172.21.2.84,10.1.41.182
ATMP,172.21.2.85,10.1.41.182
ATMP,172.22.1.56,10.1.49.56
ATMP,172.22.1.57,10.1.49.56
ATMP,172.22.1.58,10.1.49.56
ATMP,192.168.27.75,10.1.41.182
ATMP,192.168.27.77,10.1.41.182
ATMP,192.168.9.76,10.1.41.182
ATMP,192.168.9.78,10.1.41.182
ATS,10.1.87.128,
ATS,10.1.87.129,
ATS,10.1.87.130,
ATS,10.1.87.133,
ATS,10.1.87.134,
ATS,10.1.87.135,
ATS,10.1.87.141,
ATS,10.1.87.142,
ATS,10.1.87.143,
ATS,10.1.87.144,
ATS,10.1.87.32,
ATS,10.1.87.33,
ATS,10.1.87.34,
ATS,10.1.87.37,
ATS,10.1.87.38,
ATS,10.1.87.39,
ATS,10.1.87.48,
ATS,10.1.87.49,
ATS,10.1.87.52,
ATS,10.1.87.53,
ATS,10.1.87.54,
ATS,10.1.87.55,
AUTOMAN,10.222.167.10,
AUTOMAN,10.222.167.11,
AWP,10.1.10.30,10.1.10.32
AWP,10.1.10.31,10.1.10.32
AWP,10.1.10.32,10.1.10.32
AWP,10.1.10.37,10.1.10.37
AWP,10.1.10.6,10.1.10.37
AWP,10.1.10.7,10.1.10.37
AWP,10.1.88.20,
AWP,10.1.88.21,
AWP,10.1.88.22,
AWP,10.1.88.23,
AWP,10.200.36.46,
AWP,10.200.4.92,
AWP,172.21.0.162,10.1.10.37
AWP,172.21.0.45,10.1.10.37
AWP,172.21.0.46,10.1.10.37
AWP,172.21.2.53,10.1.10.32
AWP,172.21.2.54,10.1.10.32
AWP,172.21.2.55,10.1.10.32
AWP,172.22.1.74,
AWP,172.22.1.75,
AWP,172.22.1.76,
AWP,172.22.1.77,
BACKUP,10.35.98.1,10.35.98.1
BCH,10.1.20.77,10.1.20.77
BCH,10.1.20.78,10.1.20.77
BCH,10.1.20.79,10.1.20.77
BCH,10.1.48.183,
BCH,10.1.48.184,
BCH,10.228.101.1,10.228.101.3
BCH,10.228.101.2,10.228.101.3
BCH,10.228.101.3,10.228.101.3
BCH,10.228.101.32,
BCH,10.228.101.33,
BCH,10.228.101.34,
BCH,10.228.101.35,
BCH,10.228.101.36,
BCH,10.228.101.37,
BCH,10.228.101.38,
BCH,10.228.101.39,
BCH,10.228.101.4,10.228.101.6
BCH,10.228.101.5,10.228.101.6
BCH,10.228.101.6,10.228.101.6
BCH,172.21.2.24,10.1.20.77
BCH,172.21.2.25,10.1.20.77
BCH,172.21.2.26,10.1.20.77
BCH,172.21.3.205,10.228.101.3
BCH,172.21.3.206,10.228.101.3
BCH,172.21.3.207,10.228.101.6
BCH,172.21.3.208,10.228.101.6
BCH,172.21.3.209,
BCH,172.21.3.210,
BCH,172.21.3.211,
BCH,172.21.3.212,
BCH,172.21.3.213,
BCH,172.21.3.214,
BCH,172.21.3.215,
BCH,172.21.3.216,
BCH,172.21.3.217,10.228.101.3
BCH,172.21.3.218,10.228.101.6
BCS,10.1.88.104,10.1.88.106
BCS,10.1.88.105,10.1.88.106
BCS,10.1.88.106,10.1.88.106
BCS,10.1.88.53,10.1.88.53
BCS,10.1.88.54,10.1.88.53
BCS,10.1.88.55,10.1.88.53
